numerai_ticker,iex_ticker
4938 TT,4938-TT
4147 TT,4147-TT
3661 TT,3661-TT
4142 TT,4142-TT
1789 TT,1789-TT
3673 TT,3673-TT
2723 TT,2723-TT
2231 TT,2231-TT
1590 TT,1590-TT
3665 TT,3665-TT
5871 TT,5871-TT
4966 TT,4966-TT
8436 TT,8436-TT
4536 TT,4536-TT
4958 TT,4958-TT
5269 TT,5269-TT
8406 TT,8406-TT
1785 TT,1785-TT
2059 TT,2059-TT
3374 TT,3374-TT
1303 TT,1303-TT
3376 TT,3376-TT
2633 TT,2633-TT
2610 TT,2610-TT
2105 TT,2105-TT
1305 TT,1305-TT
2002 TT,2002-TT
2301 TT,2301-TT
6176 TT,6176-TT
2912 TT,2912-TT
6279 TT,6279-TT
2327 TT,2327-TT
2609 TT,2609-TT
2014 TT,2014-TT
3152 TT,3152-TT
1795 TT,1795-TT
2421 TT,2421-TT
2439 TT,2439-TT
2313 TT,2313-TT
2324 TT,2324-TT
2356 TT,2356-TT
2345 TT,2345-TT
2353 TT,2353-TT
1402 TT,1402-TT
9910 TT,9910-TT
3042 TT,3042-TT
2357 TT,2357-TT
2379 TT,2379-TT
5347 TT,5347-TT
2618 TT,2618-TT
3035 TT,3035-TT
2474 TT,2474-TT
2355 TT,2355-TT
6239 TT,6239-TT
8299 TT,8299-TT
4126 TT,4126-TT
6278 TT,6278-TT
2303 TT,2303-TT
1304 TT,1304-TT
1319 TT,1319-TT
2006 TT,2006-TT
2337 TT,2337-TT
2809 TT,2809-TT
1736 TT,1736-TT
2892 TT,2892-TT
1477 TT,1477-TT
9914 TT,9914-TT
9938 TT,9938-TT
2603 TT,2603-TT
5371 TT,5371-TT
3045 TT,3045-TT
9921 TT,9921-TT
2454 TT,2454-TT
1707 TT,1707-TT
6147 TT,6147-TT
2884 TT,2884-TT
2317 TT,2317-TT
3231 TT,3231-TT
1565 TT,1565-TT
3227 TT,3227-TT
6285 TT,6285-TT
6269 TT,6269-TT
2330 TT,2330-TT
2605 TT,2605-TT
1102 TT,1102-TT
2377 TT,2377-TT
1723 TT,1723-TT
3037 TT,3037-TT
2385 TT,2385-TT
2382 TT,2382-TT
9933 TT,9933-TT
2408 TT,2408-TT
2412 TT,2412-TT
2409 TT,2409-TT
3044 TT,3044-TT
2383 TT,2383-TT
1476 TT,1476-TT
3034 TT,3034-TT
1301 TT,1301-TT
1326 TT,1326-TT
3023 TT,3023-TT
2449 TT,2449-TT
2393 TT,2393-TT
2368 TT,2368-TT
2456 TT,2456-TT
4105 TT,4105-TT
6121 TT,6121-TT
2885 TT,2885-TT
2882 TT,2882-TT
6244 TT,6244-TT
5388 TT,5388-TT
5306 TT,5306-TT
2395 TT,2395-TT
2360 TT,2360-TT
5434 TT,5434-TT
2308 TT,2308-TT
3189 TT,3189-TT
8215 TT,8215-TT
9904 TT,9904-TT
1216 TT,1216-TT
2351 TT,2351-TT
2354 TT,2354-TT
2881 TT,2881-TT
2880 TT,2880-TT
3005 TT,3005-TT
2455 TT,2455-TT
2886 TT,2886-TT
3008 TT,3008-TT
2887 TT,2887-TT
2888 TT,2888-TT
2891 TT,2891-TT
5904 TT,5904-TT
6196 TT,6196-TT
9951 TT,
6274 TT,6274-TT
6505 TT,6505-TT
3293 TT,3293-TT
1101 TT,1101-TT
2103 TT,2103-TT
1504 TT,1504-TT
3443 TT,3443-TT
3406 TT,3406-TT
5274 TT,5274-TT
6414 TT,6414-TT
6409 TT,6409-TT
3481 TT,3481-TT
SIMO US,SIMO
5876 TT,5876-TT
3706 TT,3706-TT
4137 TT,4137-TT
4551 TT,4551-TT
8454 TT,8454-TT
3081 TT,3081-TT
8046 TT,8046-TT
6462 TT,6462-TT
6488 TT,6488-TT
6510 TT,6510-TT
8464 TT,8464-TT
3533 TT,3533-TT
6456 TT,6456-TT
6271 TT,6271-TT
6541 TT,6541-TT
4904 TT,4904-TT
9958 TT,9958-TT
8086 TT,8086-TT
2049 TT,2049-TT
3545 TT,3545-TT
3576 TT,3576-TT
3596 TT,3596-TT
3529 TT,3529-TT
4736 TT,4736-TT
6669 TT,6669-TT
6679 TT,6679-TT
3711 TT,3711-TT
6706 TT,6706-TT
6732 TT,6732-TT
6743 TT,6743-TT
3105 TT,3105-TT
4915 TT,4915-TT
TCAP TB,TCAP-TB
